;cpu;ram;disco;temp
0;1491.8;4.5;3.2;54.0
1;829.1;4.5;3.2;54.0
2;1097.5;4.5;3.2;54.0
3;854.3;4.5;3.2;54.0
4;574.5;4.5;3.2;54.0
5;870.5;4.5;3.2;54.0
6;852.7;4.5;3.2;54.0
7;1105.1;4.5;3.2;49.0
8;929.4;4.5;3.2;49.0
9;825.2;4.5;3.2;49.0
10;1335.6;4.5;3.2;49.0
11;1051.2;4.5;3.2;49.0
12;1364.9;4.5;3.2;49.0
13;1261.6;4.5;3.2;49.0
14;1379.7;4.5;3.2;49.0
15;639.8;4.5;3.2;49.0
16;859.6;4.5;3.2;49.0
17;924.4;4.5;3.2;49.0
18;1265.6;4.5;3.2;49.0
19;929.8;4.5;3.2;49.0
20;1242.1;4.5;3.2;49.0
21;839.9;4.5;3.2;49.0
22;1000.8;4.5;3.2;49.0
23;1221.5;4.5;3.2;49.0
24;1109.5;4.5;3.2;49.0
25;1244.6;4.5;3.2;49.0
26;1191.3;4.5;3.2;49.0
27;982.5;4.5;3.2;49.0
28;844.0;4.5;3.2;49.0
29;770.1;4.5;3.2;49.0
30;1140.7;4.5;3.2;48.0
31;785.2;4.5;3.2;48.0
32;854.5;4.5;3.2;48.0
33;732.9;4.5;3.2;48.0
